Title,Summary,Cast,Rating,Success,Budget (in millions),Box Office (in millions)
Inception,"A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page",8.8,Yes,160,829.9
The Dark Knight,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham.","Christian Bale, Heath Ledger, Aaron Eckhart",9.0,Yes,185,1004.9
Interstellar,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","Matthew McConaughey, Anne Hathaway, Jessica Chastain",8.6,Yes,165,677.5
The Room,"Johnny is a successful banker who lives happily in a San Francisco townhouse with his fiancée, Lisa.","Tommy Wiseau, Juliette Danielle, Greg Sestero",3.7,No,6,4.9
Parasite,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",8.6,Yes,11.4,263.1
The Godfather,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","Marlon Brando, Al Pacino, James Caan",9.2,Yes,6,250
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","John Travolta, Uma Thurman, Samuel L. Jackson",8.9,Yes,8,213.9
The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Tim Robbins, Morgan Freeman, Bob Gunton",9.3,Yes,25,58.3
The Matrix,"A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",8.7,Yes,63,467.2
Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins. With the help of remaining allies, the Avengers assemble once more.","Robert Downey Jr., Chris Evans, Mark Ruffalo",8.4,Yes,356,2797.5
Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","Leonardo DiCaprio, Kate Winslet, Billy Zane",7.9,Yes,200,2200
Joker,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime.","Joaquin Phoenix, Robert De Niro, Zazie Beetz",8.4,Yes,55,1074.3
Forrest Gump,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75.","Tom Hanks, Robin Wright, Gary Sinise",8.8,Yes,55,678.2
Fight Club,"An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.","Brad Pitt, Edward Norton, Meat Loaf",8.8,Yes,63,101.2
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Matthew Broderick, Jeremy Irons, James Earl Jones",8.5,Yes,45,968.5
